Sat May 14 18:23:13 CDT 2016 DataR12S5p17T0Apr_28_1154.root 
Sat May 14 18:23:35 CDT 2016 DataR12S5p18T0Apr_28_1158.root 
Sat May 14 18:23:58 CDT 2016 DataR12S5p19T0Apr_28_1202.root 
Sat May 14 18:24:20 CDT 2016 DataR12S5p1T0Apr_28_1045.root 
Sat May 14 18:24:41 CDT 2016 DataR12S5p20T0Apr_28_1207.root 
Sat May 14 18:25:04 CDT 2016 DataR12S5p21T0Apr_28_1211.root 
Sat May 14 18:25:25 CDT 2016 DataR12S5p22T0Apr_28_1215.root 
Sat May 14 18:25:48 CDT 2016 DataR12S5p23T0Apr_28_1218.root 
Sat May 14 18:26:01 CDT 2016 DataR12S5p2T0Apr_28_1050.root 
Sat May 14 18:26:32 CDT 2016 DataR12S5p3T0Apr_28_1054.root 
Sat May 14 18:26:59 CDT 2016 DataR12S5p4T0Apr_28_1058.root 
Sat May 14 18:27:24 CDT 2016 DataR12S5p5T0Apr_28_1102.root 
Sat May 14 18:27:49 CDT 2016 DataR12S5p6T0Apr_28_1107.root 
Sat May 14 18:28:16 CDT 2016 DataR12S5p7T0Apr_28_1111.root 
Sat May 14 18:28:39 CDT 2016 DataR12S5p8T0Apr_28_1115.root 
Sat May 14 18:29:01 CDT 2016 DataR12S5p9T0Apr_28_1120.root 
Sat May 14 18:29:24 CDT 2016 DataR12S6p0T0Apr_28_1230.root 
Sat May 14 18:29:47 CDT 2016 DataR12S6p10T0Apr_28_1313.root 
Sat May 14 18:30:12 CDT 2016 DataR12S6p11T0Apr_28_1317.root 
Sat May 14 18:30:35 CDT 2016 DataR12S6p12T0Apr_28_1321.root 
Sat May 14 18:30:58 CDT 2016 DataR12S6p13T0Apr_28_1325.root 
Sat May 14 18:31:21 CDT 2016 DataR12S6p14T0Apr_28_1330.root 
Sat May 14 18:31:43 CDT 2016 DataR12S6p15T0Apr_28_1334.root 
Sat May 14 18:32:06 CDT 2016 DataR12S6p16T0Apr_28_1338.root 
Sat May 14 18:32:30 CDT 2016 DataR12S6p17T0Apr_28_1343.root 
Sat May 14 18:32:54 CDT 2016 DataR12S6p18T0Apr_28_1347.root 
Sat May 14 18:33:18 CDT 2016 DataR12S6p19T0Apr_28_1351.root 
Sat May 14 18:33:41 CDT 2016 DataR12S6p1T0Apr_28_1234.root 
Sat May 14 18:34:04 CDT 2016 DataR12S6p20T0Apr_28_1355.root 
Sat May 14 18:34:28 CDT 2016 DataR12S6p21T0Apr_28_1400.root 
Sat May 14 18:34:57 CDT 2016 DataR12S6p22T0Apr_28_1404.root 
Sat May 14 18:35:20 CDT 2016 DataR12S6p23T0Apr_28_1408.root 
Sat May 14 18:35:42 CDT 2016 DataR12S6p24T0Apr_28_1412.root 
Sat May 14 18:36:05 CDT 2016 DataR12S6p25T0Apr_28_1417.root 
Sat May 14 18:36:27 CDT 2016 DataR12S6p26T0Apr_28_1421.root 
Sat May 14 18:36:49 CDT 2016 DataR12S6p27T0Apr_28_1422.root 
Sat May 14 18:36:57 CDT 2016 DataR12S6p2T0Apr_28_1238.root 
Sat May 14 18:37:19 CDT 2016 DataR12S6p3T0Apr_28_1243.root 
Sat May 14 18:37:40 CDT 2016 DataR12S6p4T0Apr_28_1247.root 
Sat May 14 18:38:03 CDT 2016 DataR12S6p5T0Apr_28_1251.root 
Sat May 14 18:38:26 CDT 2016 DataR12S6p6T0Apr_28_1256.root 
